wl;n;k
0.731915;2.06376;4.76799
0.733127;2.0664;4.77359
0.734343;2.06905;4.7792
0.735563;2.0717;4.78482
0.736787;2.07434;4.79045
0.738015;2.07699;4.79609
0.739247;2.07964;4.80174
0.740483;2.08228;4.8074
0.741724;2.08492;4.81308
0.742968;2.08757;4.81876
0.744217;2.09021;4.82445
0.74547;2.09285;4.83015
0.746727;2.09549;4.83586
0.747989;2.09813;4.84158
0.749254;2.10076;4.84732
0.750524;2.1034;4.85306
0.751799;2.10603;4.85882
0.753077;2.10866;4.86458
0.75436;2.11129;4.87036
0.755648;2.11392;4.87615
0.75694;2.11654;4.88195
0.758236;2.11916;4.88776
0.759536;2.12178;4.89359
0.760842;2.1244;4.89943
0.762151;2.12701;4.90527
0.763465;2.12963;4.91113
0.764784;2.13224;4.91701
0.766107;2.13484;4.92289
0.767435;2.13744;4.92879
0.768767;2.14004;4.9347
0.770105;2.14264;4.94063
0.771446;2.14523;4.94657
0.772793;2.14782;4.95252
0.774144;2.15041;4.95848
0.7755;2.15299;4.96446
0.77686;2.15556;4.97045
0.778226;2.15814;4.97646
0.779596;2.16071;4.98248
0.780971;2.16327;4.98852
0.782351;2.16583;4.99457
0.783736;2.16839;5.00063
0.785125;2.17094;5.00671
0.78652;2.17348;5.01281
0.78792;2.17603;5.01892
0.789324;2.17856;5.02505
0.790734;2.18109;5.03119
0.792148;2.18362;5.03735
0.793568;2.18614;5.04352
0.794993;2.18865;5.04971
0.796423;2.19116;5.05592
0.797858;2.19366;5.06214
0.799298;2.19616;5.06839
0.800744;2.19865;5.07465
0.802194;2.20114;5.08092
0.80365;2.20362;5.08722
0.805112;2.20609;5.09353
0.806578;2.20856;5.09986
0.80805;2.21102;5.10621
0.809528;2.21347;5.11258
0.81101;2.21592;5.11897
0.812499;2.21836;5.12538
0.813992;2.22079;5.13181
0.815491;2.22321;5.13825
0.816996;2.22563;5.14472
0.818506;2.22804;5.15121
0.820022;2.23045;5.15772
0.821544;2.23284;5.16425
0.823071;2.23523;5.1708
0.824604;2.23761;5.17737
0.826142;2.23999;5.18397
0.827686;2.24235;5.19058
0.829237;2.24471;5.19722
0.830792;2.24706;5.20389
0.832354;2.2494;5.21057
0.833922;2.25174;5.21728
0.835495;2.25406;5.22401
0.837075;2.25638;5.23077
0.83866;2.25869;5.23755
0.840252;2.26099;5.24436
0.841849;2.26328;5.25119
0.843453;2.26556;5.25804
0.845063;2.26784;5.26492
0.846679;2.2701;5.27183
0.848301;2.27236;5.27877
0.849929;2.27461;5.28573
0.851564;2.27685;5.29271
0.853205;2.27908;5.29973
0.854852;2.2813;5.30677
0.856505;2.28351;5.31384
0.858165;2.28571;5.32094
0.859832;2.28791;5.32807
0.861505;2.29009;5.33523
0.863184;2.29226;5.34242
0.86487;2.29443;5.34963
0.866563;2.29659;5.35688
0.868262;2.29873;5.36416
0.869968;2.30087;5.37147
0.871681;2.303;5.37881
0.8734;2.30511;5.38618
0.875126;2.30722;5.39358
0.87686;2.30932;5.40102
0.878599;2.31141;5.40849
0.880346;2.31349;5.41599
0.8821;2.31556;5.42353
0.883861;2.31762;5.4311
0.885629;2.31967;5.43871
0.887404;2.32171;5.44635
